job_id,source_market_code,source_market,skill
senior-ai-software-engineer-all-genders-hamburg-155199,DE,Germany,artificial_intelligence
senior-ai-azure-operations-administrator-all-genders-hamburg-143930,DE,Germany,azure
senior-ai-azure-operations-administrator-all-genders-hamburg-143930,DE,Germany,artificial_intelligence
international-advertising-coordinator-munich-108070,DE,Germany,excel
senior-it-administrator-in-der-workplace-verwaltung-ehingen-213233,DE,Germany,azure
senior-it-administrator-in-der-workplace-verwaltung-ehingen-213233,DE,Germany,artificial_intelligence
technischer-consultant-e-commerce-karlsruhe-287323,DE,Germany,docker
technischer-consultant-e-commerce-karlsruhe-287323,DE,Germany,git
software-engineer-ios-core-product-hamburg-germany-473350,DE,Germany,git
software-engineer-ios-core-product-hamburg-germany-473350,DE,Germany,artificial_intelligence
software-engineer-ios-core-product-berlin-germany-118702,DE,Germany,git
software-engineer-ios-core-product-berlin-germany-118702,DE,Germany,artificial_intelligence
senior-software-engineer-kotlinjava-munich-429728,DE,Germany,aws
senior-software-engineer-kotlinjava-munich-429728,DE,Germany,spark
senior-software-engineer-kotlinjava-berlin-284017,DE,Germany,aws
senior-software-engineer-kotlinjava-berlin-284017,DE,Germany,spark
cyber-security-engineering-business-manager-frankfurt-am-main-229498,DE,Germany,azure
praktikum-commercial-operations-account-management-munich-41922,DE,Germany,excel
full-stack-engineer-munich-368853,DE,Germany,python
full-stack-engineer-munich-368853,DE,Germany,azure
full-stack-engineer-munich-368853,DE,Germany,aws
full-stack-engineer-munich-368853,DE,Germany,gcp
full-stack-engineer-munich-368853,DE,Germany,docker
full-stack-engineer-munich-368853,DE,Germany,kubernetes
applied-ai-engineer-ai-automation-berlin-228748,DE,Germany,python
remote-data-scientist-agent-evaluations-quality-434210,DE,Germany,python
remote-data-scientist-agent-evaluations-quality-434210,DE,Germany,sql
remote-data-scientist-agent-evaluations-quality-434210,DE,Germany,machine_learning
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,python
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,azure
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,aws
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,gcp
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,docker
remote-founding-forward-deployed-ml-engineer-403811,DE,Germany,kubernetes
